,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.1472904982742125,99,2000,-0.023109745779983856
1,20,1.1517868236404887,199,4000,-0.11420690745406992
2,20,1.1535442059147138,299,6000,0.02335763767170169
3,20,-2.375410685182317,399,8000,-0.034442735377245765
4,20,-2.602189846134806e-05,499,10000,0.00010551892641196492
5,20,0.0,599,12000,-0.13440894937226447
6,20,-1.1939936737498533,699,14000,-0.22865938110239004
7,20,1.200690832155435,799,16000,-0.011763288868316563
8,20,3.334403834687194e-05,899,18000,0.08390644560437091
9,20,0.0,999,20000,0.05935471490089963
10,20,1.1987431684150882,1099,22000,-0.10732223192673672
11,20,1.196912016951569,1199,24000,-0.07168244918995265
12,20,2.3972524982683523,1299,26000,0.09572628308910834
13,20,-2.380972573679075,1399,28000,-0.03568230899608615
14,20,1.1958077428546197,1499,30000,-0.011797997906590661
15,20,1.192709788835526,1599,32000,0.17902192742443834
16,20,0.0,1699,34000,-0.08307245100858487
17,20,1.1832540662351545,1799,36000,-0.011884671760638016
18,20,0.0,1899,38000,0.035467524040319685
19,20,-1.18372830181863,1999,40000,0.047224136840077924
20,20,-2.3750845093798576,2099,42000,0.03559902009757906
21,20,1.1880250627151556,2199,44000,0.03567412944902557
22,20,6.113808188601411e-07,2299,46000,0.011940932130255252
23,20,-1.1869719308830335,2399,48000,-6.273023909789455e-05
24,20,0.0,2499,50000,0.09492316652123137
25,20,-1.1839607837684079,2599,52000,0.11879065906028863
26,20,0.0,2699,54000,0.23673487175781355
27,20,1.1814344410979707,2799,56000,0.07097183422157306
28,20,2.36848840806722,2899,58000,0.1538436217299619
29,20,-2.3665745537939045,2999,60000,0.13022040248863606
30,20,0.0,3099,62000,0.07077353810748671
31,20,0.0,3199,64000,0.16492928559615447
32,20,-3.677724738748722e-06,3299,66000,0.3417392882003679
33,20,1.1776204365831469,3399,68000,0.16474571523130682
34,20,8.431655266205595e-06,3499,70000,0.09427786761229562
35,20,-1.179206112286267,3599,72000,0.07078201916156704
36,20,-1.1748681106208252,3699,74000,0.31794928422798496
37,20,0.0,3799,76000,0.25869760853627505
38,20,2.2099321734803112e-06,3899,78000,0.08235464675189653
39,20,-1.1754943994554705,3999,80000,0.18801892865136577
40,20,0.0,4099,82000,0.3055346375824626
41,20,-1.3843106975164332e-05,4199,84000,0.17627644582312663
42,20,1.173846177480601,4299,86000,0.22310298491472924
43,20,3.509185072081422e-06,4399,88000,0.18764446198100548
44,20,6.5041822983058495e-06,4499,90000,0.3983583901030891
45,20,2.8085326664317734e-07,4599,92000,0.10546840162239103
46,20,0.0,4699,94000,0.3291141404359365
47,20,-1.176157864617622,4799,96000,0.3294212395146689
48,20,0.0,4899,98000,0.17640428705212258
49,20,5.859220003845422e-06,4999,100000,0.21155454255453826
50,20,0.0,5099,102000,0.19999266197322918
51,20,5.6277141833316335e-06,5199,104000,0.25871878866317105
52,20,0.0,5299,106000,0.3288691392758068
53,20,1.174546274962898,5399,108000,0.36405674960951123
54,20,0.0,5499,110000,0.25848320483270404
55,20,-8.05985448248947e-06,5599,112000,0.31737522301982257
56,20,-1.1745058421616894,5699,114000,0.1291750638227426
57,20,1.1764954584846545,5799,116000,0.22328749975294773
58,20,9.397772246488856e-05,5899,118000,0.4593273818405034
59,20,9.77507432642355e-06,5999,120000,0.3300024757985282
60,20,1.9121192846860424e-06,6099,122000,0.3065139874669425
61,20,2.3550482257305325,6199,124000,0.22361506341587717
62,20,-1.1777025734011313,6299,126000,0.2591303399092999
63,20,0.0,6399,128000,0.34160796711736796
64,20,1.177667230062507,6499,130000,0.2591901154201869
65,20,-1.1764614593239533,6599,132000,0.3413670976864359
66,20,0.0,6699,134000,0.3883030750682383
67,20,-6.719811522781782e-06,6799,136000,0.15303141420544678
68,20,-1.1784986995016233,6899,138000,0.3298446347256265
69,20,1.4836748258861832e-06,6999,140000,0.3651687771980444
70,20,1.1784914007455995,7099,142000,0.4243243901806615
71,20,-2.3570016239974425,7199,144000,0.5539080135422156
72,20,1.178326091831841,7299,146000,0.3887464145902077
73,20,2.3579405915394553,7399,148000,0.35353673499250393
74,20,1.178010914070391,7499,150000,0.3652764144339157
75,20,1.178590967915964,7599,152000,0.23571318791527254
76,20,1.1779314982663907,7699,154000,0.41243671356850264
77,20,1.176813051385203,7799,156000,0.4237158288931721
78,20,-3.408297609697186e-06,7899,158000,0.2943469359861072
79,20,1.177813524577545,7999,160000,0.2592233274882019
80,20,2.3552745434063107,8099,162000,0.31809663119586323
81,20,1.1774490031094753,8199,164000,0.4239961612757259
82,20,-3.463223554600603e-06,8299,166000,0.20012535332583734
83,20,-1.3615866555793943e-05,8399,168000,0.38863045239988153
84,20,0.0,8499,170000,0.31787811044947833
85,20,-3.1941215627995234e-06,8599,172000,0.4708787870626696
86,20,-1.1775113717686772,8699,174000,0.3414139919382666
87,20,-1.1789129106295089,8799,176000,0.3416679425915167
88,20,-1.1796375781581658,8899,178000,0.4010298676078966
89,20,1.976719371410418e-05,8999,180000,0.21234980591214833
90,20,0.0,9099,182000,0.41322762974311544
91,20,0.0,9199,184000,0.38983056775047686
92,20,-1.8208718800538648e-05,9299,186000,0.35450491134072365
93,20,-1.180784055687993,9399,188000,0.3306867529871269
94,20,1.1814822123846256,9499,190000,0.30709772807012287
95,20,-2.9897936080214293e-06,9599,192000,0.21272078428738206
96,20,2.3683144751584937,9699,194000,0.3195829584596299
97,20,-1.1849683648029794,9799,196000,0.35527855410826303
98,20,-1.1852895673110277,9899,198000,0.5332998384319599
99,20,1.1862532667239973,9999,200000,0.3438778338645045
